cardholder_id,card_number,card_type,customer_name,email,phone_number,country,preferred_currency,reward_points,risk_score
CH0047,XXXX-XXXX-XXXX-4416,Silver,Brenda Bennett,tpierce@morris.com,600.658.2184,Canada,GBP,9859,0.3
CH0048,XXXX-XXXX-XXXX-5063,Gold,Matthew Lopez,harrismolly@wilson-neal.net,+1-174-846-7053x3071,Australia,EUR,5475,0.2
CH0049,XXXX-XXXX-XXXX-3891,Business,Kelly Williams,dlee@drake.com,001-174-813-7322x698,India,CAD,3084,0.93
CH0050,XXXX-XXXX-XXXX-1034,Gold,Jerry Newman,acarson@valenzuela-moody.org,(724)720-9595x93142,Canada,INR,3245,0.05
CH0051,XXXX-XXXX-XXXX-7798,Silver,Jamie Skinner,parkermichael@hotmail.com,001-034-948-0399,India,CAD,807,0.98
CH0052,XXXX-XXXX-XXXX-6323,Business,Kenneth Mejia,mary73@hotmail.com,001-066-882-7120x46978,Germany,EUR,7315,0.62
CH0053,XXXX-XXXX-XXXX-9288,Platinum,Mike Owens,ryanjustin@gmail.com,781.534.7921x541,Australia,GBP,8985,0.07
CH0054,XXXX-XXXX-XXXX-2071,Business,Mark Gilbert,haydenharper@hart.info,001-419-925-1032x6165,Germany,AUD,4464,0.76
CH0055,XXXX-XXXX-XXXX-3927,Business,John Wells,heathergriffith@torres.com,426.632.5264,USA,USD,6010,0.47
CH0056,XXXX-XXXX-XXXX-3796,Platinum,Antonio Bruce,johnsondrew@yahoo.com,(674)955-1180,USA,INR,8871,0.81
CH0057,XXXX-XXXX-XXXX-2963,Platinum,Kristopher Tucker,williamsnathan@yahoo.com,+1-162-033-3189x02939,India,GBP,7748,0.64
CH0058,XXXX-XXXX-XXXX-4424,Business,Dr. Joshua Norman Jr.,trevorbrennan@williams-hill.info,439.159.8350,Australia,AUD,7523,0.05
CH0059,XXXX-XXXX-XXXX-6425,Gold,Mr. Joseph Jones Jr.,vwolf@yahoo.com,+1-285-989-6333,Canada,GBP,1711,0.47
CH0060,XXXX-XXXX-XXXX-2910,Business,Joshua Anderson,pamela61@herrera.com,(768)343-4548x534,Canada,INR,5008,0.95
CH0061,XXXX-XXXX-XXXX-7543,Silver,Jason Harris,leahwilliams@moody-dixon.com,001-156-734-7671,Germany,INR,807,0.44
CH0062,XXXX-XXXX-XXXX-8580,Platinum,Jennifer Taylor,davidgray@yahoo.com,+1-185-575-5163,Canada,CAD,4843,0.18
CH0063,XXXX-XXXX-XXXX-5967,Platinum,Anthony Watson,darleneevans@hotmail.com,341.273.3311,USA,GBP,7378,0.84
CH0064,XXXX-XXXX-XXXX-5274,Platinum,Gary Santos,sestes@pruitt-baker.biz,(046)122-1860x21839,Australia,CAD,3061,0.22
CH0065,XXXX-XXXX-XXXX-3707,Gold,Todd Sweeney,anncox@taylor.com,572.413.8330,India,CAD,3683,0.41
CH0066,XXXX-XXXX-XXXX-1711,Silver,Anthony Summers,deborahdavis@hotmail.com,001-255-749-8844x5174,UK,INR,7098,0.63
CH0067,XXXX-XXXX-XXXX-9005,Business,Stephen Torres,dmooney@hotmail.com,0904184582,Australia,GBP,5926,0.09
CH0068,XXXX-XXXX-XXXX-1997,Business,Shaun Hoover,taylorsosa@gmail.com,813.508.9784x076,Australia,USD,7838,0.65
CH0069,XXXX-XXXX-XXXX-1157,Silver,Desiree Nelson,qnorman@yahoo.com,428-673-3803,India,INR,4443,0.21
CH0070,XXXX-XXXX-XXXX-2382,Silver,Mrs. Carla Davis,spencer16@gmail.com,113.022.6417,Germany,GBP,7567,0.31
CH0071,XXXX-XXXX-XXXX-7027,Platinum,Brian Dougherty,swood@yahoo.com,967-612-6618,Germany,GBP,7552,0.73
CH0072,XXXX-XXXX-XXXX-3136,Gold,Jenna Valentine,thomas70@grant.com,001-529-967-0882x218,Germany,AUD,6660,0.69
CH0073,XXXX-XXXX-XXXX-8569,Platinum,William Orozco,obrown@riley.biz,(751)421-7489x6477,Canada,USD,3043,0.41
CH0074,XXXX-XXXX-XXXX-4519,Business,Jennifer Boyd,colemanjoyce@pham.info,962-436-0346x12407,Canada,CAD,515,0.51
CH0075,XXXX-XXXX-XXXX-4916,Platinum,Michael Flores,khernandez@hotmail.com,001-761-289-1070,Australia,USD,8984,0.59
CH0076,XXXX-XXXX-XXXX-8500,Silver,Daniel Johnson,avilarobert@bean.com,762-201-1013,Germany,EUR,3703,0.35
CH0077,XXXX-XXXX-XXXX-1598,Silver,Robert Romero,berrybrian@larson.info,+1-570-356-4986x474,USA,GBP,9576,0.12
CH0078,XXXX-XXXX-XXXX-6197,Gold,Peter Montgomery,qsilva@yahoo.com,+1-513-617-6408,USA,USD,2410,0.21
CH0079,XXXX-XXXX-XXXX-5490,Gold,Amy Hunt,amanda30@king.com,091-698-5256x40325,Australia,GBP,7104,0.61
CH0080,XXXX-XXXX-XXXX-2263,Platinum,Mark Anderson,klucero@valdez.com,912-908-1926,India,CAD,2172,0.69
CH0081,XXXX-XXXX-XXXX-3866,Business,Terri Griffin,kristasmith@smith.com,001-913-269-5885x485,Australia,INR,8901,0.36
CH0082,XXXX-XXXX-XXXX-2765,Gold,Gary Brown,colecody@turner.com,(241)540-9805x379,Australia,CAD,4890,0.55
CH0083,XXXX-XXXX-XXXX-8052,Business,Matthew Anderson,simmonsheather@allen.com,733-735-0020x36492,Australia,INR,6885,0.68
CH0084,XXXX-XXXX-XXXX-1451,Gold,James Wright,molinabrittany@vasquez.org,(867)404-6884,Canada,AUD,5802,0.72
CH0085,XXXX-XXXX-XXXX-9665,Platinum,Tiffany Harrell,ecoleman@jones-white.com,792.597.8731,Canada,EUR,6136,0.7
CH0086,XXXX-XXXX-XXXX-4953,Silver,Leah Baker,reedbethany@hart.org,482-651-3502,Germany,USD,8440,0.16
CH0087,XXXX-XXXX-XXXX-2198,Gold,Carla Strong,smithlisa@gmail.com,001-273-284-2779x155,USA,USD,5859,0.2
CH0088,XXXX-XXXX-XXXX-2269,Gold,Heather Lopez,kdavis@johnson.biz,+1-947-951-6725,UK,INR,4888,0.44
CH0089,XXXX-XXXX-XXXX-6422,Gold,Angela Alvarez,gmorton@stephenson-garcia.biz,001-948-289-6360x36687,Canada,INR,3321,0.78
CH0090,XXXX-XXXX-XXXX-3443,Silver,Stephanie Davis,denise20@montes-smith.org,(840)508-1008x978,Germany,INR,8685,0.21
CH0091,XXXX-XXXX-XXXX-9233,Silver,Thomas Mcneil,operry@yahoo.com,+1-810-821-0225,Germany,CAD,3988,0.36
CH0092,XXXX-XXXX-XXXX-9569,Gold,Jeffrey Martinez,iashley@yahoo.com,953.635.6775x14240,UK,INR,8798,0.55
CH0093,XXXX-XXXX-XXXX-8335,Gold,Francisco Oneal,frazierjoshua@crawford.com,253-460-2637,USA,USD,6002,0.25
CH0094,XXXX-XXXX-XXXX-3752,Platinum,Anthony Kim,richardevans@gmail.com,001-382-532-9622,Germany,EUR,1030,0.63
CH0095,XXXX-XXXX-XXXX-4175,Platinum,Joel Velazquez,johnsonmelinda@davenport.net,(174)090-3734,USA,USD,2026,0.2
CH0096,XXXX-XXXX-XXXX-3499,Silver,Mark Sanchez,joyce32@yahoo.com,001-939-928-5351,UK,INR,5331,0.36
CH0097,XXXX-XXXX-XXXX-8777,Business,Chris Aguilar,perezryan@yahoo.com,353-913-2136,India,AUD,2424,0.21
CH0098,XXXX-XXXX-XXXX-8920,Business,Dana Evans,jennifergibbs@turner.biz,548.563.6376x1527,Australia,AUD,7963,0.11
CH0099,XXXX-XXXX-XXXX-3886,Business,Jacob Garcia,rrocha@gmail.com,001-269-847-3349,India,USD,1997,0.27
CH0100,XXXX-XXXX-XXXX-6631,Business,Marisa Rodgers,shelley20@hotmail.com,001-585-782-2013x620,USA,EUR,7919,0.95
CH0101,XXXX-XXXX-XXXX-2879,Platinum,Steven Richardson,grant24@gmail.com,745.317.6960,Germany,GBP,9595,0.52
CH0102,XXXX-XXXX-XXXX-9325,Gold,Dalton Simon,cookkaren@finley.com,(375)054-3710x08909,Australia,AUD,2744,0.39
CH0103,XXXX-XXXX-XXXX-1384,Platinum,Jennifer Hall,denise45@gmail.com,893-049-3794x914,Australia,CAD,2551,0.84
CH0104,XXXX-XXXX-XXXX-2886,Gold,Michael Peterson,lhenderson@gmail.com,001-157-359-2518x552,Canada,INR,1719,0.22
CH0105,XXXX-XXXX-XXXX-6629,Platinum,Joseph Levine,chad58@hotmail.com,616-752-5738,Australia,GBP,4442,0.38
CH0106,XXXX-XXXX-XXXX-9881,Gold,John Adams,garyscott@hotmail.com,677-156-9273,Canada,CAD,3808,0.82
CH0107,XXXX-XXXX-XXXX-2698,Business,Marc Moon,nrichards@hotmail.com,666.591.2266,Canada,CAD,1758,0.11
CH0108,XXXX-XXXX-XXXX-4523,Gold,Brian Charles,johnnynewman@hotmail.com,863.501.1706,Canada,EUR,877,0.34
CH0109,XXXX-XXXX-XXXX-2617,Business,Zachary Garcia,harrisonlaura@jensen.com,001-733-603-9208,Canada,INR,6431,0.32
CH0110,XXXX-XXXX-XXXX-7440,Business,Susan Little,matthew93@king-murphy.com,9075753616,India,EUR,7341,0.39
CH0111,XXXX-XXXX-XXXX-7805,Platinum,Christina Harvey,michael89@mcfarland.com,(339)322-3637,Canada,AUD,4892,0.15
CH0112,XXXX-XXXX-XXXX-5965,Silver,John Davidson,milesjennifer@jackson.info,503.586.2644,USA,GBP,6472,0.97
CH0113,XXXX-XXXX-XXXX-9306,Silver,Aaron Contreras,jeffrey82@gmail.com,007-232-2858x38801,Canada,INR,8466,0.81
CH0114,XXXX-XXXX-XXXX-5254,Platinum,Richard Duarte,perezdevin@yahoo.com,(828)928-7312x464,USA,AUD,7541,0.69
CH0115,XXXX-XXXX-XXXX-8954,Business,Benjamin Macdonald MD,luisharrison@leon.com,091.562.1816,India,INR,3320,0.52
CH0116,XXXX-XXXX-XXXX-8276,Silver,Amy Burns,sullivanrobert@yahoo.com,001-967-364-0076x23581,Germany,CAD,2869,0.21
CH0117,XXXX-XXXX-XXXX-9799,Business,Justin Morales,linda73@gmail.com,+1-027-300-0557x16412,USA,GBP,1162,0.35
CH0118,XXXX-XXXX-XXXX-4688,Platinum,Samuel Fisher,shannonbraun@dunn.com,676-678-6306,Canada,EUR,2445,0.54
CH0119,XXXX-XXXX-XXXX-3445,Gold,Michael Henderson,chelseacoleman@adkins.com,(155)368-6532x40716,Germany,CAD,9435,0.44
CH0120,XXXX-XXXX-XXXX-2434,Gold,Adam Wright,samueldavidson@yahoo.com,(931)782-6242,India,EUR,773,0.22
CH0121,XXXX-XXXX-XXXX-2454,Silver,Mason Leach,ashleyphillips@hotmail.com,650-744-9917x023,India,GBP,6138,0.09
CH0122,XXXX-XXXX-XXXX-7097,Business,Caroline Steele,juliamayo@hotmail.com,001-128-399-0075,India,USD,4368,0.27
CH0123,XXXX-XXXX-XXXX-8882,Platinum,Caitlin Smith,thomaswaters@hotmail.com,+1-179-982-7976x10932,India,USD,5073,0.82
CH0124,XXXX-XXXX-XXXX-5368,Gold,Becky Foster,browningandrew@gmail.com,1749495357,Canada,GBP,1119,0.16
CH0125,XXXX-XXXX-XXXX-7451,Business,Jessica Lewis,crystalbeck@hotmail.com,(665)444-8681x75531,Germany,GBP,6694,0.35
CH0126,XXXX-XXXX-XXXX-9126,Platinum,Lori Bailey,russellherrera@greene.com,001-739-569-5534x194,India,USD,9788,0.88
CH0127,XXXX-XXXX-XXXX-5207,Platinum,Amber Anderson,thernandez@gmail.com,+1-835-830-3475,UK,USD,9970,0.53
CH0128,XXXX-XXXX-XXXX-6021,Gold,John Clark,dennistravis@gmail.com,(906)562-4229,Canada,USD,692,0.05
CH0129,XXXX-XXXX-XXXX-6159,Business,Rachel Nunez,bpeterson@yahoo.com,874.993.5316,Canada,EUR,4252,0.63
CH0130,XXXX-XXXX-XXXX-8840,Silver,Donald Thompson,peter93@gmail.com,233.275.9476x917,Australia,CAD,8658,0.12
CH0131,XXXX-XXXX-XXXX-8491,Platinum,Daniel Lucas,justin54@garcia.com,(669)793-7593x2395,USA,EUR,7876,0.93
CH0132,XXXX-XXXX-XXXX-9133,Platinum,Lorraine Ho,phorne@mcbride-garcia.com,001-387-783-4671x92652,Australia,EUR,9266,0.29
CH0133,XXXX-XXXX-XXXX-7166,Silver,Jill Santiago,mhardy@martin.biz,249.226.3654x2455,Canada,INR,4480,0.24
CH0134,XXXX-XXXX-XXXX-1273,Platinum,Brooke Watts,william97@mccoy.com,707-139-1422x98669,Australia,INR,4713,0.18
CH0135,XXXX-XXXX-XXXX-7894,Platinum,Matthew Cochran,jcameron@gmail.com,(942)465-1442x0542,Germany,CAD,4204,0.43
CH0136,XXXX-XXXX-XXXX-9825,Business,Taylor Whitney,caitlinanderson@gray.com,(456)144-7737,Canada,INR,1721,0.76
CH0137,XXXX-XXXX-XXXX-1368,Silver,Rebecca Rice,cassandra82@stephens-white.biz,(582)553-7898x46451,Canada,CAD,2330,0.96
CH0138,XXXX-XXXX-XXXX-8114,Platinum,David Swanson,clewis@velasquez.info,001-477-783-8440x0462,Canada,EUR,9247,0.75
CH0139,XXXX-XXXX-XXXX-9905,Platinum,Rhonda Fox,sdavies@yahoo.com,854-482-7971x8944,Australia,CAD,1658,0.83
CH0140,XXXX-XXXX-XXXX-8368,Business,Margaret Castaneda,james99@schroeder.info,485-453-4197x964,UK,GBP,6188,0.75
CH0141,XXXX-XXXX-XXXX-4633,Business,James Porter,lovepaul@hotmail.com,867-716-0962x8035,USA,GBP,7650,0.85
CH0142,XXXX-XXXX-XXXX-5219,Silver,Rachael Johnson,aguilardawn@graham-shepherd.com,118-025-5414x9694,Germany,USD,4853,0.56
CH0143,XXXX-XXXX-XXXX-3088,Silver,Albert Phillips,cindyguerra@anderson.net,841.492.8253,Australia,AUD,6970,0.54
CH0144,XXXX-XXXX-XXXX-1301,Platinum,Megan Powers,owilliams@graves.com,474.033.1247x62214,Canada,AUD,1831,0.34
CH0145,XXXX-XXXX-XXXX-3370,Business,Bonnie Taylor,cynthiagarrett@yahoo.com,001-315-615-0033x1230,India,INR,5831,0.37
CH0146,XXXX-XXXX-XXXX-8565,Business,Sean Mccarthy,cbrown@olsen.net,758-482-6704x78181,Germany,USD,8017,0.82
CH0147,XXXX-XXXX-XXXX-2815,Gold,Danny Houston,juanwilson@cox.com,(540)537-0883,UK,USD,9696,0.92
CH0148,XXXX-XXXX-XXXX-4004,Business,Keith Rocha,abrown@yahoo.com,001-489-701-8515x4819,Germany,AUD,4292,0.51
CH0149,XXXX-XXXX-XXXX-5878,Silver,Andrew Hayes,jason38@powell.com,+1-012-484-4534,Australia,GBP,5743,0.31
CH0150,XXXX-XXXX-XXXX-2688,Business,Tiffany Nichols,stevenellis@hotmail.com,751.618.3196,India,USD,9860,0.12
CH0151,XXXX-XXXX-XXXX-9146,Platinum,Stephanie Smith,bakersusan@gmail.com,079-658-1070x16703,India,CAD,9797,0.52
CH0152,XXXX-XXXX-XXXX-4082,Gold,Christopher Lynch,rarnold@yahoo.com,(835)870-9659,Canada,GBP,8989,0.16
CH0153,XXXX-XXXX-XXXX-2619,Silver,Kimberly Melton,andres76@merritt.com,(360)553-9724x4379,UK,GBP,3210,0.76
CH0154,XXXX-XXXX-XXXX-2176,Gold,Christy Stevens,justin63@gmail.com,(161)595-5813x13199,India,USD,7915,0.46
CH0155,XXXX-XXXX-XXXX-4802,Business,Ashley Webster,uoconnor@hotmail.com,+1-789-010-5606x10979,Canada,AUD,5962,0.42
CH0156,XXXX-XXXX-XXXX-8648,Business,Michael Smith,spark@yahoo.com,(721)519-0978x96519,Australia,AUD,7306,0.62
CH0157,XXXX-XXXX-XXXX-8945,Gold,Melissa Wright,greercharles@yahoo.com,486-536-1651x7282,USA,EUR,8117,0.98
CH0158,XXXX-XXXX-XXXX-1999,Business,Terri Benton,laura90@watson.net,+1-138-264-4309x10237,Australia,GBP,1662,0.66
CH0159,XXXX-XXXX-XXXX-3871,Silver,Daisy Scott,eperez@hotmail.com,545.404.4721x796,Canada,CAD,8346,0.73
CH0160,XXXX-XXXX-XXXX-4390,Business,Steven Bowman,fgonzalez@gmail.com,+1-872-655-9217,Australia,EUR,3229,0.68
CH0161,XXXX-XXXX-XXXX-6893,Gold,Dana Brown,tbennett@reed.com,100-744-3872x580,Australia,EUR,8095,0.07
CH0162,XXXX-XXXX-XXXX-5463,Business,Dawn Davidson,dfritz@harrison.info,(928)783-1993x958,USA,INR,3055,0.24
CH0163,XXXX-XXXX-XXXX-8072,Business,Mathew Taylor,wrightjared@cox-edwards.biz,001-255-109-2358x715,India,CAD,9519,0.48
CH0164,XXXX-XXXX-XXXX-4498,Gold,Christopher Reed,crystal88@hotmail.com,(875)210-9190x806,Australia,AUD,6005,0.59
CH0165,XXXX-XXXX-XXXX-2771,Business,David Kemp,seanyoung@gmail.com,410.372.8853x1022,USA,AUD,6748,0.03
CH0166,XXXX-XXXX-XXXX-7572,Business,Clinton Lin MD,louisnelson@hotmail.com,376-767-6290x31367,UK,AUD,3743,0.29
CH0167,XXXX-XXXX-XXXX-2722,Gold,Tony Davis,tracycowan@shepherd.com,(071)023-9858x070,India,AUD,1950,0.87
CH0168,XXXX-XXXX-XXXX-3715,Platinum,Duane Rogers,larry05@gmail.com,289-279-5904x0966,UK,INR,9995,0.96
CH0169,XXXX-XXXX-XXXX-4668,Silver,Timothy Bailey,lori84@gmail.com,001-096-286-9964x654,India,EUR,3517,0.06
CH0170,XXXX-XXXX-XXXX-9130,Platinum,Roger Green,montoyaricky@hotmail.com,076-244-2792,India,AUD,2314,0.98
CH0171,XXXX-XXXX-XXXX-9678,Silver,Jessica Kim,rromero@hawkins-george.net,001-128-651-0638x38707,Canada,INR,8508,0.32
CH0172,XXXX-XXXX-XXXX-5666,Platinum,Darryl Bailey,tammyhensley@anderson.com,657.569.8225,USA,AUD,3782,0.3
CH0173,XXXX-XXXX-XXXX-5112,Silver,Diane Andrade,henry40@prince.info,+1-182-438-9760,USA,EUR,6661,0.46
CH0174,XXXX-XXXX-XXXX-6842,Silver,Karen Spencer,uklein@hotmail.com,079-431-7566,Germany,USD,4220,0.35
CH0175,XXXX-XXXX-XXXX-5142,Silver,Sean Jensen,medinajill@hotmail.com,+1-156-458-3382x343,UK,GBP,9397,0.25
CH0176,XXXX-XXXX-XXXX-2099,Silver,Andrew Mcdonald,donnasalinas@yahoo.com,+1-064-162-6187x895,Canada,CAD,7651,0.15
CH0177,XXXX-XXXX-XXXX-8819,Gold,Hunter Graves,qsmith@perez.com,+1-488-161-7532,Germany,INR,3626,0.57
CH0178,XXXX-XXXX-XXXX-3452,Platinum,Marie White,cferguson@hotmail.com,+1-741-092-4204,Canada,USD,2042,0.65
CH0179,XXXX-XXXX-XXXX-1236,Gold,Shane Wang,jeffreybaker@williams-stevens.org,5543221229,Australia,AUD,9493,0.35
CH0180,XXXX-XXXX-XXXX-3007,Gold,Francis Riley,shawnwaters@hotmail.com,262.139.5268,Canada,INR,3390,0.73
CH0181,XXXX-XXXX-XXXX-7906,Business,Thomas Martinez,vandrade@parsons-rivera.com,001-675-308-9083x444,India,EUR,2993,0.04
CH0182,XXXX-XXXX-XXXX-8515,Platinum,William Johnson,hallaustin@hotmail.com,517.944.9274,India,AUD,4929,0.5
CH0183,XXXX-XXXX-XXXX-2729,Platinum,Gregory Stevens,brandonbaker@yahoo.com,868-192-2431x48006,UK,GBP,3871,0.69
CH0184,XXXX-XXXX-XXXX-5949,Gold,Sarah Hensley,estesjeremy@gmail.com,001-852-908-6605,India,AUD,8732,0.95
CH0185,XXXX-XXXX-XXXX-8368,Gold,Julia Washington,daniel16@yahoo.com,+1-251-453-8814x69755,Australia,USD,8308,0.9
CH0186,XXXX-XXXX-XXXX-7209,Gold,Evelyn Smith,bford@gmail.com,(744)482-8373x71956,Australia,EUR,9823,0.16
CH0187,XXXX-XXXX-XXXX-9394,Silver,Wendy Mathews,benjamin74@butler-hardy.net,(364)745-1859,Australia,EUR,3069,0.19
CH0188,XXXX-XXXX-XXXX-6743,Gold,Randall Walker,zavery@henry.com,001-170-856-3407x4290,Australia,USD,6332,0.6
CH0189,XXXX-XXXX-XXXX-1859,Business,Janice Schmidt,christinaschultz@hotmail.com,526-655-3814,Australia,GBP,2380,0.21
CH0190,XXXX-XXXX-XXXX-2937,Gold,Barbara Garcia,holmesamber@martin.com,(820)623-7995x06191,Australia,CAD,9973,0.11
CH0191,XXXX-XXXX-XXXX-4920,Platinum,Mathew Nguyen,christopherwerner@yahoo.com,874-416-5018,UK,INR,2965,0.85
CH0192,XXXX-XXXX-XXXX-2417,Silver,Stephanie Mcmahon,qzamora@gregory.info,(885)872-2274,Australia,USD,1062,0.68
CH0193,XXXX-XXXX-XXXX-9689,Business,Crystal Spence,javier09@yahoo.com,001-796-549-1623,Germany,USD,5861,0.24
CH0194,XXXX-XXXX-XXXX-4172,Silver,Kristy Dunn,lori48@gmail.com,5812038228,Canada,EUR,8974,0.22
CH0195,XXXX-XXXX-XXXX-2159,Silver,Mark Jones,melissadavis@gmail.com,663-968-9331,Canada,USD,4848,0.43
